Big & Bulky,,,,,
Facility Center,Destination MSA,Daily Avg. Volume,Big & Bulky,Origin Zip,Destination Zip
"LNK (Lincoln, NE)","Omaha-Council Bluffs, NE-IA",28,12,68508,68102
"LNK (Lincoln, NE)","Oshkosh-Neenah, WI",8,3,68508,54901
"LNK (Lincoln, NE)","Racine, WI",10,4,68508,53403
"LNK (Lincoln, NE)","Topeka, KS",11,5,68508,66603
"SAV (Savannah, GA)","Atlanta-Sandy Springs-Alpharetta, GA",164,72,31401,30303
"SAV (Savannah, GA)","Augusta-Richmond County, GA-SC",24,10,31401,30901
"SAV (Savannah, GA)","Birmingham-Hoover, AL",31,14,31401,35203
"SAV (Savannah, GA)","Charleston-North Charleston, SC",43,19,31401,29401
"SAV (Savannah, GA)","Charlotte, NC",114,50,31401,28202
"SAV (Savannah, GA)","Charlottesville, VA",16,7,31401,22902
"SAV (Savannah, GA)","Chattanooga, TN-GA",21,9,31401,37402
"SAV (Savannah, GA)","Columbus, GA-AL",12,5,31401,31901
"SAV (Savannah, GA)","Gainesville, GA",10,4,31401,30501
"SAV (Savannah, GA)","Huntsville, AL",18,8,31401,35801
"SAV (Savannah, GA)","Jacksonville, FL",66,29,31401,32202
"SAV (Savannah, GA)","Knoxville, TN",35,16,31401,37902
"SAV (Savannah, GA)","Macon-Bibb County, GA",11,5,31401,31201
"SAV (Savannah, GA)","Miami-Fort Lauderdale-West Palm Beach, FL",168,74,31401,33131
"SAV (Savannah, GA)","Montgomery, AL",10,4,31401,36104
"SAV (Savannah, GA)","Nasvhille, TN",25,11,31401,37203
"SAV (Savannah, GA)","North Port-Sarasota-Bradenton, FL",52,23,31401,34236
"SAV (Savannah, GA)","Orlando-Kissimmee-Sanford, FL",97,43,31401,32801
"SAV (Savannah, GA)","Port St. Lucie, FL",24,10,31401,34952
"SAV (Savannah, GA)","Richmond, VA",54,24,31401,23219
"SAV (Savannah, GA)","Savannah, GA",26,12,31401,31401
"SAV (Savannah, GA)","Tampa-St. Petersburg-Clearwater, FL",81,36,31401,33602
"SAV (Savannah, GA)","Virginia Beach-Norfolk-Newport News, VA-NC",52,23,31401,23510
"SEA (Tacoma, WA)","Bremerton-Silverdale-Port Orchard, WA",16,7,98101,98312
"SEA (Tacoma, WA)","Olympia-Lacey-Tumwater, WA",19,8,98101,98501
"SEA (Tacoma, WA)","Portland-Vancouver-Hillsboro, OR-WA",66,29,98101,97204
"SEA (Tacoma, WA)","Salem, OR",26,11,98101,97301
"SEA (Tacoma, WA)","Seattle-Tacoma-Bellevue, WA",209,92,98101,98101
